index	table_id	annotator_id	premise	hypothesis	label
0	T1769	GW0	to be or not to be	In Rainbows was released over ten years ago.	0
1	T1769	GW0	to be or not to be	Nigel Godrich has only produced one album.	1
2	T1769	GW0	to be or not to be	In Rainbows is less than 40 minutes long.	2
3	T1769	GW1	to be or not to be	It took over two years to record In Rainbows.	0
4	T1769	GW1	to be or not to be	In Rainbows falls into the art pop genre more than it does the art rock one.	1
5	T1769	GW1	to be or not to be	The run time of In Rainbows is over an hour.	2
6	T1769	GW2	to be or not to be	In Rainbows was released a few weeks before Halloween.	0
7	T1769	GW2	to be or not to be	In Rainbows had more than 10 tracks.	1
8	T1769	GW2	to be or not to be	In Rainbows was recorded in less than 60 days.	2
9	T1	GW0	to be or not to be	Brooklyn has a run time under two hours.	0
10	T1	GW0	to be or not to be	Brooklyn was the highest grossing film of 2015.	1
11	T1	GW0	to be or not to be	Brooklyn made less than 60 million dollars at the box office.	2
12	T1	GW1	to be or not to be	Brooklyn made about 50 million more at the box office than it's budget was.	0
13	T1	GW1	to be or not to be	Finola Dwyer did more to produce Brooklyn than Amanda Posey did.	1
14	T1	GW1	to be or not to be	Brooklyn has a run time longer than two hours.	2
15	T1	GW3	to be or not to be	Brooklyn was an English film.	0
16	T1	GW3	to be or not to be	Brooklyn was only released in three countries.	1
17	T1	GW3	to be or not to be	Brooklyn has a run-time of 120 minutes.	2
18	T3	GW5	to be or not to be	Raw hazelnuts contain fewer than 5 g of sugars per serving.	0
19	T3	GW5	to be or not to be	Raw hazelnuts contain more good than bad sugars.	1
20	T3	GW5	to be or not to be	Raw hazelnuts contain more than 5 g of sugars per serving.	2
21	T3	GW2	to be or not to be	400 grams of filberts contain all the zinc a person needs in one day according to the USDA.	0
22	T3	GW2	to be or not to be	Hazelnuts lose vitamin C when roasted.	1
23	T3	GW2	to be or not to be	Hazelnuts are low in fat.	2
24	T3	GW4	to be or not to be	A bag of Hazelnuts has over 600 calories.	0
25	T3	GW4	to be or not to be	A serving of Hazelnuts has a high amount of fat.	1
26	T3	GW4	to be or not to be	A bag of Hazelnuts is known for being very sweet.	2
27	T5	GW0	to be or not to be	Charles Francis Jenkins has been awarded more than one medal.	0
